"filename", "language", "JavaScript", "XML", "JavaScript React", "CSS", "JSON", "HTML", "Properties", "comment", "blank", "total"
"c:\Users\johin\Documents\cs-thoughts\.env", "Properties", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\johin\Documents\cs-thoughts\index.html", "HTML", 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"c:\Users\johin\Documents\cs-thoughts\package.json", "JSON", 0, 0, 0, 0, 29, 0, 0, 0, 1, 30
"c:\Users\johin\Documents\cs-thoughts\src\App.jsx", "JavaScript React", 0, 0, 28, 0, 0, 0, 0, 0, 3, 31
"c:\Users\johin\Documents\cs-thoughts\src\Elements\AddThought.jsx", "JavaScript React", 0, 0, 73, 0, 0, 0, 0, 0, 1, 74
"c:\Users\johin\Documents\cs-thoughts\src\Elements\AppContainer.jsx", "JavaScript React", 0, 0, 33, 0, 0, 0, 0, 0, 2, 35
"c:\Users\johin\Documents\cs-thoughts\src\Elements\CustomHooks\useLikeAndDislikeController.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 2, 35
"c:\Users\johin\Documents\cs-thoughts\src\Elements\CustomHooks\useOnScreen.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\johin\Documents\cs-thoughts\src\Elements\CustomHooks\validateFunctions.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 1, 2, 19
"c:\Users\johin\Documents\cs-thoughts\src\Elements\DummyCard.jsx", "JavaScript React", 0, 0, 89, 0, 0, 0, 0, 0, 4, 93
"c:\Users\johin\Documents\cs-thoughts\src\Elements\FeelingFilter.jsx", "JavaScript React", 0, 0, 112, 0, 0, 0, 0, 0, 1, 113
"c:\Users\johin\Documents\cs-thoughts\src\Elements\Filters.jsx", "JavaScript React", 0, 0, 71, 0, 0, 0, 0, 0, 3, 74
"c:\Users\johin\Documents\cs-thoughts\src\Elements\HomeCover.jsx", "JavaScript React", 0, 0, 39, 0, 0, 0, 0, 0, 3, 42
"c:\Users\johin\Documents\cs-thoughts\src\Elements\InsertThought.jsx", "JavaScript React", 0, 0, 101, 0, 0, 0, 0, 0, 1, 102
"c:\Users\johin\Documents\cs-thoughts\src\Elements\LikeAndDislike.jsx", "JavaScript React", 0, 0, 66, 0, 0, 0, 0, 0, 2, 68
